Numer RSPO;REGON;NIP;Typ;Nazwa;Kod terytorialny województwo;Kod terytorialny powiat;Kod terytorialny gmina;Kod terytorialny miejscowość;Kod terytorialny ulica;Województwo;Powiat;Gmina;Miejscowość;Rodzaj miejscowości;Ulica;Numer budynku;Numer lokalu;Kod pocztowy;Poczta;Telefon;Faks;E-mail;Strona www;Publiczność status;Kategoria uczniów;Specyfika placówki;Imię i nazwisko dyrektora;Data założenia;Data rozpoczęcia działalności;Data likwidacji;Typ organu prowadzącego;Nazwa organu prowadzącego;REGON organu prowadzącego;NIP organu prowadzącego;Województwo organu prowadzącego;Powiat organu prowadzącego;Gmina organu prowadzącego;Miejsce w strukturze;RSPO podmiotu nadrzędnego;Typ podmiotu nadrzędnego;Nazwa podmiotu nadrzędnego;Liczba uczniów;Tereny sportowe;Języki nauczane;Czy zatrudnia logopedę;Czy zatrudnia psychologa;Czy zatrudnia pedagoga;Oddziały podstawowe wg specyfiki;Oddziały dodatkowe;Zawód;Zawód artystyczny;Zawód w KPSS;Dziedzina BCU
"23747";"=""276061312""";"=""""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE IM.MJR HENRYKA SUCHARSKIEGO";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""07634""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Józefowska";"=""32""";"=""""";"=""40-144""";"Katowice";"=""322582350""";"=""""";"xivlosucharski@wp.pl";"www.suchar.katowice.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"JUSTYNA KLUZ-MACHLIK";"2002.05.27";"2002.09.01";"";"Miasto na prawach powiatu";"MIASTO KATOWICE";"=""276255387""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"364";"";"angielski, hiszpański, niemiecki, japoński, Inny";"Nie";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"105809";"=""281411060""";"=""""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE DLA UCZNIÓW NIESŁYSZĄCYCH W OLSZTYNIE";"=""28""";"=""2862""";"=""2862011""";"=""0964465""";"=""06316""";"WARMIŃSKO-MAZURSKIE";"Olsztyn";"Olsztyn";"Olsztyn";"miasto";"ul. Marii Grzegorzewskiej";"=""6""";"=""""";"=""10-048""";"Olsztyn";"=""895276834""";"=""895276835""";"sekretariat@soswdn.olsztyn.eu";"oswnies.olsztyn.pl";"publiczna";"Dzieci lub młodzież";"specjalna";" ";"2012.09.01";"2012.09.01";"";"Miasto na prawach powiatu";"GMINA OLSZTYN";"=""510742362""";"=""""";"WARMIŃSKO-MAZURSKIE";"Olsztyn";"Olsztyn";"szkoła/placówka wchodząca w skład jednostki złożonej";"72123";"Specjalny Ośrodek Szkolno-Wychowawczy";"SPECJALNY OŚRODEK SZKOLNO-WYCHOWAWCZY DLA DZIECI NIESŁYSZĄCYCH IM. MARII GRZEGORZEWSKIEJ W OLSZTYNIE";"2";"";"angielski";"Tak";"Tak";"Tak";"specjalny";"";"";"";"";""
"91549";"=""004193674""";"=""""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE W LUBLINIE";"=""06""";"=""0663""";"=""0663011""";"=""0954700""";"=""18375""";"LUBELSKIE";"Lublin";"Lublin";"Lublin";"miasto";"ul. Radzyńska";"=""5""";"=""""";"=""20-850""";"Lublin";"=""817413703""";"=""817411847""";"poczta@zso1.lublin.eu";"www.lo14.lublin.eu";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"1990.09.01";"1990.09.01";"";"Miasto na prawach powiatu";"GMINA LUBLIN";"=""431019514""";"=""""";"LUBELSKIE";"Lublin";"Lublin";"szkoła/placówka wchodząca w skład jednostki złożonej";"58353";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 1 IM. ZBIGNIEWA HERBERTA W LUBLINIE";"549";"";"angielski, hiszpański, niemiecki, rosyjski";"Tak";"Tak";"Tak";"ogólnodostępny, przygotowania wojskowego";"";"";"";"";""
"118799";"=""852623974""";"=""""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE W ZESPOLE SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH IM. JANA SZCZEPANIKA W TARNOWIE";"=""12""";"=""1263""";"=""1263011""";"=""0981570""";"=""02104""";"MAŁOPOLSKIE";"Tarnów";"Tarnów";"Tarnów";"miasto";"ul. Kazimierza Brodzińskiego";"=""9""";"=""""";"=""33-100""";"Tarnów";"=""146218316""";"=""""";"sekretzsoit@umt.tarnow.pl";"http://www.zso.tarnow.pl/";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2002.09.01";"2002.09.01";"";"Miasto na prawach powiatu";"GMINA MIASTA TARNOWA";"=""851661323""";"=""""";"MAŁOPOLSKIE";"Tarnów";"Tarnów";"szkoła/placówka wchodząca w skład jednostki złożonej";"13509";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH IM. JANA SZCZEPANIKA W TARNOWIE";"314";"";"angielski, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"7610";"=""812104030""";"=""8521059655""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI";"=""32""";"=""3262""";"=""3262011""";"=""0977976""";"=""09282""";"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"Szczecin";"miasto";"ul. Mikołaja Kopernika";"=""16a""";"=""""";"=""70-241""";"Szczecin";"=""914895310""";"=""914895319""";"lo14@miasto.szczecin.pl";"www.lo14.szczecin.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA KOWALCZYK";"1991.09.01";"1991.09.01";"";"Miasto na prawach powiatu";"GMINA MIASTO SZCZECIN";"=""811684232""";"=""""";"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"samodzielna";"";"";"";"569";"boiska do piłki nożnej, boiska uniwersalne/wielozadaniowe";"angielski, hiszpański, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum";"";"";"";"";""
"18942";"=""192939113""";"=""""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. MIKOŁAJA KOPERNIKA W GDYNI";"=""22""";"=""2262""";"=""2262011""";"=""0934100""";"=""23842""";"POMORSKIE";"Gdynia";"Gdynia";"Gdynia";"miasto";"ul. Wejherowska";"=""55""";"=""""";"=""81-049""";"Gdynia";"=""586231227""";"=""586633072""";"sekretariat@xivlo.edu.gdynia.pl";"http://lo.xivlo.pl/";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"EWA PIĄTEK";"1993.04.20";"1993.09.01";"";"Miasto na prawach powiatu";"GDYNIA-MIASTO NA PRAWACH POWIATU";"=""191675557""";"=""""";"POMORSKIE";"Gdynia";"Gdynia";"samodzielna";"";"";"";"647";"boiska do piłki nożnej, bieżnie proste, boiska uniwersalne/wielozadaniowe";"angielski, hiszpański, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum";"";"";"";"";""
"16424";"=""000799180""";"=""5272165143""";"Liceum ogólnokształcące";"XXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. CYPRIANA KAMILA NORWIDA";"=""14""";"=""1465""";"=""1465188""";"=""0919884""";"=""14599""";"MAZOWIECKIE";"Warszawa";"Wola";"Wola";"dzielnica m.st. Warszawy";"ul. Obozowa";"=""60""";"=""""";"=""01-423""";"Warszawa";"=""228364292""";"=""""";"sekretariat.lo24@eduwarszawa.pl";"www.norwid.waw.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA RZEWUSKA-KOWALCZYK";"1946.08.16";"1946.09.01";"";"Miasto na prawach powiatu";"WOLA";"=""01525964000184""";"=""""";"MAZOWIECKIE";"Warszawa";"Wola";"samodzielna";"";"";"";"764";"boiska do koszykówki, boiska do piłki ręcznej";"angielski, francuski, hiszpański, niemiecki, rosyjski";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"19684";"=""356731328""";"=""6751026871""";"Liceum ogólnokształcące";"XXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II W KRAKOWIE";"=""12""";"=""1261""";"=""1261059""";"=""0951327""";"=""53043""";"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"Kraków-Śródmieście";"delegatura";"ul. Wilhelma Wilka-Wyrwińskiego";"=""1""";"=""""";"=""31-517""";"Kraków";"=""124111102""";"=""124121700""";"lo24@mjo.krakow.pl";"xxivliceum.krakow.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ŁUKASZ KARKOWSKI";"1991.07.06";"1991.09.01";"";"Miasto na prawach powiatu";"GMINA MIEJSKA KRAKÓW";"=""351554353""";"=""""";"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"samodzielna";"";"";"";"678";"boiska do siatkówki, boiska uniwersalne/wielozadaniowe";"angielski, francuski, hiszpański, niemiecki, rosyjski, włoski";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"25446";"=""000217580""";"=""""";"Liceum ogólnokształcące";"XXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE";"=""10""";"=""1061""";"=""1061029""";"=""0957666""";"=""12436""";"ŁÓDZKIE";"Łódź";"Łódź-Bałuty";"Łódź-Bałuty";"delegatura";"ul. Marysińska";"=""61/67""";"=""""";"=""91-850""";"Łódź";"=""426574930""";"=""426574930""";"kontakt@lo24.elodz.edu.pl";"www.24lo.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ELŻBIETA ZIĘBA";"1999.01.01";"1999.01.01";"";"Miasto na prawach powiatu";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"=""472057632""";"=""""";"ŁÓDZKIE";"Łódź";"Łódź-Śródmieście";"samodzielna";"";"";"";"521";"boiska do piłki nożnej";"angielski, hiszpański, niemiecki, rosyjski, włoski";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"86621";"=""812622316""";"=""""";"Liceum ogólnokształcące";"XXIV LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE";"=""32""";"=""3262""";"=""3262011""";"=""0977976""";"=""12563""";"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"Szczecin";"miasto";"ul. Mączna";"=""4""";"=""""";"=""70-780""";"Szczecin";"=""918806579""";"=""918806579""";"zsszp@miasto.szczecin.pl";"www.sszpitalne.edu.pl";"publiczna";"Dzieci lub młodzież";"specjalna";" ";"2003.09.01";"2003.09.01";"";"Miasto na prawach powiatu";"GMINA MIASTO SZCZECIN";"=""811684232""";"=""""";"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"szkoła/placówka wchodząca w skład jednostki złożonej";"14415";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ SZPITALNYCH";"26";"";"angielski, niemiecki";"Nie";"Nie";"Tak";"specjalny";"";"";"";"";""
"25627";"=""472407279""";"=""""";"Liceum ogólnokształcące";"XXXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KIEŚLOWSKIEGO";"=""10""";"=""1061""";"=""1061049""";"=""0958269""";"=""23624""";"ŁÓDZKIE";"Łódź";"Łódź-Polesie";"Łódź-Polesie";"delegatura";"ul. Wapienna";"=""17""";"=""""";"=""91-087""";"Łódź";"=""426533991""";"=""""";"kontakt@lo34.elodz.edu.pl";"www.lo34lodz.wikom.pl/";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"DARIUSZ JAKÓBEK";"1999.01.01";"1999.01.01";"";"Miasto na prawach powiatu";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"=""472057632""";"=""""";"ŁÓDZKIE";"Łódź";"Łódź-Śródmieście";"samodzielna";"";"";"";"328";"boiska do piłki nożnej, skocznie, inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe";"angielski, niemiecki, włoski";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"28061";"=""356722401""";"=""""";"Liceum ogólnokształcące";"XXXIV LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE IM. PROFESOR MARII ORWID W KRAKOWIE";"=""12""";"=""1261""";"=""1261049""";"=""0950960""";"=""00539""";"MAŁOPOLSKIE";"Kraków";"Kraków-Podgórze";"Kraków-Podgórze";"delegatura";"ul. dr. Józefa Babińskiego";"=""29""";"=""""";"=""30-393""";"Kraków";"=""126524671""";"=""""";"zss2@mjo.krakow.pl";"zss2.krakow.pl";"publiczna";"Dzieci lub młodzież";"specjalna";" ";"1987.09.01";"1987.09.01";"";"Miasto na prawach powiatu";"GMINA MIEJSKA KRAKÓW";"=""351554353""";"=""""";"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"szkoła/placówka wchodząca w skład jednostki złożonej";"21415";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ SPECJALNYCH NR 2 W KRAKOWIE";"94";"";"angielski, niemiecki";"Nie";"Nie";"Nie";"specjalny";"Pozalekcyjne zajęcia wychowawcze w szkole w podmiocie leczniczym";"";"";"";""
"22778";"=""000798966""";"=""5211038396""";"Liceum ogólnokształcące";"XXXIV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. MIGUELA DE CERVANTESA";"=""14""";"=""1465""";"=""1465058""";"=""0918130""";"=""25473""";"MAZOWIECKIE";"Warszawa";"Mokotów";"Mokotów";"dzielnica m.st. Warszawy";"ul. Zakrzewska";"=""24 A""";"=""""";"=""00-737""";"Warszawa";"=""228410693""";"=""228410693""";"lo34@eduwarszawa.pl";"www.cervantes.edu.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ANITA OMELAŃCZUK";"1945.09.28";"1945.09.28";"";"Miasto na prawach powiatu";"MOKOTÓW";"=""01525964000059""";"=""""";"MAZOWIECKIE";"Warszawa";"Mokotów";"samodzielna";"";"";"";"710";"bieżnie proste, bieżnie okólne";"angielski, hiszpański";"Nie";"Tak";"Tak";"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum";"";"";"";"";""
"58882";"=""432519489""";"=""7120104711""";"Liceum ogólnokształcące";"ZESPÓŁ SZKÓŁ NR 5 IM. JANA PAWŁA II XXIV LICEUM OGÓLNOKSZTAŁCĄCE W LUBLINIE";"=""06""";"=""0663""";"=""0663011""";"=""0954700""";"=""04785""";"LUBELSKIE";"Lublin";"Lublin";"Lublin";"miasto";"ul. Józefa Elsnera";"=""5""";"=""""";"=""20-854""";"Lublin";"=""817404019""";"=""""";"poczta@zs5.lublin.eu";"www.zs5.lublin.eu";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2002.01.24";"2002.09.01";"";"Miasto na prawach powiatu";"GMINA LUBLIN";"=""431019514""";"=""""";"LUBELSKIE";"Lublin";"Lublin";"szkoła/placówka wchodząca w skład jednostki złożonej";"31663";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ NR 5 IM.JANA PAWŁA II W LUBLINIE";"561";"";"angielski, hiszpański, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"11174";"=""220854200""";"=""5842682008""";"Liceum ogólnokształcące";"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 2 XXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA BANACHA W GDAŃSKU";"=""22""";"=""2261""";"=""2261011""";"=""0933016""";"=""24553""";"POMORSKIE";"Gdańsk";"Gdańsk";"Gdańsk";"miasto";"ul. Wodnika";"=""57""";"=""""";"=""80-299""";"Gdańsk";"=""583407560""";"=""583407562""";"sekretariat@zso2.edu.gdansk.pl";"zso2.edu.gdansk.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2009.09.01";"2009.09.01";"";"Miasto na prawach powiatu";"GMINA MIASTA GDAŃSKA";"=""191675570""";"=""""";"POMORSKIE";"Gdańsk";"Gdańsk";"szkoła/placówka wchodząca w skład jednostki złożonej";"6377";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 2 W GDAŃSKU";"192";"";"angielski, francuski, hiszpański, niemiecki";"Nie";"Nie";"Tak";"ogólnodostępny";"";"";"";"";""
